Crop Type,Category,Avg N harvested (lb N/unit),N Per Unit,Legume
Please select crop,,0,0,0
Alfalfa,"Green chop, Early bloom (Tons)",15.5 Per Ton,15.5,2
Alfalfa,"Green chop, Full bloom (Tons)",13 Per Ton,13,2
Alfalfa,"Green chop, Mid bloom (Tons)",14.5 Per Ton,14.5,2
Alfalfa,"Green chop, Vegetative (Tons)",17.5 Per Ton,17.5,2
Alfalfa,"Hay, sun-cured, Early bloom (Tons)",51.5 Per Ton,51.5,2
Alfalfa,"Hay, sun-cured, Full bloom (Tons)",42.5 Per Ton,42.5,2
Alfalfa,"Hay, sun-cured, Mid bloom (Tons)",46.5 Per Ton,46.5,2
Alfalfa,"Hay, sun-cured, Vegetative (Tons)",56.5 Per Ton,56.5,2
Asparagus,(Tons),7.8 Per Ton,7.8,0
Barley,Grain (Bushels),0.865 Per Bushel,0.865,0
Barley,Straw (Tons),13 Per Ton,13,0
Beet,"Red table, roots (Tons)",5 Per Ton,5,0
Beet,"Red table, roots, Tops (Tons)",11 Per Ton,11,0
Bermudagrass,"Green chop, Early to mid bloom (Tons)",9.5 Per Ton,9.5,0
Bermudagrass,"Green chop, Full bloom to mature (Tons)",6.5 Per Ton,6.5,0
Bermudagrass,"Green chop, Vegetative (Tons)",14 Per Ton,14,0
Bermudagrass,"Hay, sun-cured, Early to mid bloom (Tons)",29 Per Ton,29,0
Bermudagrass,"Hay, sun-cured, Full bloom to mature (Tons)",19 Per Ton,19,0
Bermudagrass,"Hay, sun-cured, Vegetative (Tons)",42.5 Per Ton,42.5,0
Birdsfoot,"Trefoil, Green chop, Early bloom (Tons)",16.5 Per Ton,16.5,0
Birdsfoot,"Trefoil, Green chop, Mid to full bloom (Tons)",11.5 Per Ton,11.5,0
Birdsfoot,"Trefoil, Hay, early bloom (Tons)",52.5 Per Ton,52.5,0
Birdsfoot,"Trefoil, Hay, Mid to full bloom (Tons)",37.5 Per Ton,37.5,0
Bluegrass,"Kentucky, Hay, green chop, Mature (Tons)",5 Per Ton,5,0
Bluegrass,"Kentucky, Hay, green chop, Mid bloom (Tons)",10 Per Ton,10,0
Bluegrass,"Kentucky, Hay, sun-cured, Mature (Tons)",17.5 Per Ton,17.5,0
Bluegrass,"Kentucky, Hay, sun-cured, Mid bloom (Tons)",29 Per Ton,29,0
Bluestem,Early bloom (Tons),22.5 Per Ton,22.5,0
Bluestem,Full bloom (Tons),17.5 Per Ton,17.5,0
Bluestem,Mature (Tons),11.5 Per Ton,11.5,0
Broccoli,(Tons),12 Per Ton,12,0
Bromegrass,"Smooth, Hay, green chop, Early bloom (Tons)",11 Per Ton,11,0
Bromegrass,"Smooth, Hay, green chop, Mature (Tons)",5 Per Ton,5,0
Bromegrass,"Smooth, Hay, green chop, Mid to late bloom (Tons)",9.5 Per Ton,9.5,0
Bromegrass,"Smooth, Hay, green chop, Vegetative (Tons)",16.5 Per Ton,16.5,0
Bromegrass,"Smooth, Hay, sun-cured, Early bloom (Tons)",36 Per Ton,36,0
Bromegrass,"Smooth, Hay, sun-cured, Mature (Tons)",16.5 Per Ton,16.5,0
Bromegrass,"Smooth, Hay, sun-cured, Mid to late bloom (Tons)",30.5 Per Ton,30.5,0
Bromegrass,"Smooth, Hay, sun-cured, Vegetative (Tons)",52 Per Ton,52,0
Cabbage,Head (Tons),5 Per Ton,5,0
Cantaloupe,(Tons),2.9 Per Ton,2.9,0
Carrots,Foliage (Tons),7.35 Per Ton,7.35,0
Carrots,Roots (Tons),3.6 Per Ton,3.6,0
Clover,"Alsike, Green chop (Tons)",14 Per Ton,14,1
Clover,"Alsike, Hay (Tons)",41 Per Ton,41,1
Clover,"Crimson, Green chop (Tons)",14 Per Ton,14,1
Clover,"Crimson, Hay (Tons)",45 Per Ton,45,1
Clover,"Ladino, Green chop (Tons)",20 Per Ton,20,1
Clover,"Ladino, Hay (Tons)",59.5 Per Ton,59.5,1
Clover,"Red, green chop, Early to mid bloom (Tons)",13 Per Ton,13,1
Clover,"Red, green chop, Full bloom (Tons)",12 Per Ton,12,1
Clover,"Red, green chop, Late vegetative (Tons)",17.5 Per Ton,17.5,1
Clover,"Red, hay, sun-cured, Early to mid bloom (Tons)",42.5 Per Ton,42.5,1
Clover,"Red, hay, sun-cured, Full bloom (Tons)",40 Per Ton,40,1
Clover,"Red, hay, sun-cured, Late vegetative (Tons)",57.5 Per Ton,57.5,1
Clover,"Sweet, hay (Tons)",45 Per Ton,45,1
Clover,"Sweet, hay, Green chop (Tons)",15 Per Ton,15,1
Clover,"White, hay (Tons)",57.5 Per Ton,57.5,1
Clover,"White, hay, Green chop (Tons)",20.5 Per Ton,20.5,1
Cauliflower,(Tons),7.9 Per Ton,7.9,0
Corn,"Grain, shelled (Bushels)",0.735 Per Bushel,0.735,0
Corn,Silage (Tons),7.65 Per Ton,7.65,0
Corn,Silage (Tons),7.65 Per Ton,7.65,0
Cotton,Lint (CWT),0.15 Per CWT,0.15,0
Cotton,"Lint, Seed (CWT)",3.35 Per CWT,3.35,0
Cucumber,(Tons),2.45 Per Ton,2.45,0
Dry bean,Seed (CWT),3.65 Per CWT,3.65,1
Fescue,"Tall, Green chop, Late vegetative (Tons)",15 Per Ton,15,0
Fescue,"Tall, Green chop, Mature (Tons)",6 Per Ton,6,0
Fescue,"Tall, Green chop, Mid bloom (Tons)",8.5 Per Ton,8.5,0
Fescue,"Tall, Hay, late vegetative (Tons)",45.5 Per Ton,45.5,0
Fescue,"Tall, Hay, late vegetative, Mature (Tons)",17 Per Ton,17,0
Fescue,"Tall, Hay, late vegetative, Mid bloom (Tons)",25.5 Per Ton,25.5,0
Flax,seed (CWT),3.55 Per CWT,3.55,0
Lettuce,Head (Tons),4.1 Per Ton,4.1,0
Oat,Grain (Bushels),0.615 Per Bushel,0.615,0
Oat,Straw (Tons),12 Per Ton,12,0
Onion,Bulbs (Tons),4.4 Per Ton,4.4,0
Orchardgrass,"Green chop, Late vegetative (Tons)",12.5 Per Ton,12.5,0
Orchardgrass,"Green chop, Mature (Tons)",6 Per Ton,6,0
Orchardgrass,"Green chop, Mid bloom (Tons)",8.5 Per Ton,8.5,0
Orchardgrass,"Hay, late vegetative (Tons)",40.5 Per Ton,40.5,0
Orchardgrass,"Hay, late vegetative, Mature (Tons)",20.5 Per Ton,20.5,0
Orchardgrass,"Hay, late vegetative, Mid bloom (Tons)",27 Per Ton,27,0
Pea,Seed only (Tons),16.5 Per Ton,16.5,1
Pea,Vine-no pods (Tons),10.5 Per Ton,10.5,1
Peanut,Hay (Tons),31.5 Per Ton,31.5,1
Peanut,Hay (Tons),31.5 Per Ton,31.5,1
Peanut,Seed only (CWT),4.15 Per CWT,4.15,1
Peanut,Seed only (CWT),4.15 Per CWT,4.15,1
Peanut,Seed with pods (CWT),3.8 Per CWT,3.8,1
Peanut,Seed with pods (CWT),3.8 Per CWT,3.8,1
Pepper,Sweet green (Tons),3.65 Per Ton,3.65,1
Potato,White tubers (CWT),0.4 Per CWT,0.4,0
Rice,Grain (Bushels),0.525 Per Bushel,0.525,0
Rice,Straw (Tons),11.5 Per Ton,11.5,0
Rye,Grain (Bushels),1.075 Per Bushel,1.075,0
Rye,Straw (Tons),9 Per Ton,9,0
Ryegrass,"Green chop, Late vegetative (Tons)",10 Per Ton,10,0
Ryegrass,"Green chop, Mid bloom (Tons)",7.5 Per Ton,7.5,0
Ryegrass,"Hay, late vegetative (Tons)",31.5 Per Ton,31.5,0
Ryegrass,"Hay, late vegetative, Mid bloom (Tons)",22 Per Ton,22,0
Snap Bean,Pods (Tons),7.75 Per Ton,7.75,1
Sorghum,Grain (Bushels),0.785 Per Bushel,0.785,0
Sorghum,Silage (Tons),5.15 Per Ton,5.15,0
Sorghum,"Sudan, Green chop, Immature (Tons)",9.4 Per Ton,9.4,0
Sorghum,"Sudan, Green chop, Mid-mature (Tons)",6.45 Per Ton,6.45,0
Sorghum,"Sudan, Silage (Tons)",7 Per Ton,7,0
Soybean,Grain (Bushels),3.3 Per Bushel,3.3,1
Soybean,Straw (Tons),15.5 Per Ton,15.5,1
Spinach,(Tons),8.45 Per Ton,8.45,0
Squash,Summer (Tons),4.95 Per Ton,4.95,0
Squash,Winter (Tons),5.05 Per Ton,5.05,0
Sugarbeet,Roots w/ crowns (Tons),5.05 Per Ton,5.05,0
Sugarbeet,Roots w/o crowns (Tons),3.6 Per Ton,3.6,0
Sugarbeet,Tops w/ crowns (Tons),7.4 Per Ton,7.4,0
Sugarbeet,Tops w/o crowns (Tons),9 Per Ton,9,0
Sugarcane,Cane tops + trash (Tons),4 Per Ton,4,0
Sugarcane,Millable cane <12 mo crop (Tons),1.9 Per Ton,1.9,0
Sugarcane,Millable cane >12 mo crop (Tons),1.5 Per Ton,1.5,0
Sunflower Seed,Confection (Tons),57.5 Per Ton,57.5,0
Sunflower Seed,Oil type (Tons),49 Per Ton,49,0
Sweet corn,Ears with husks (Tons),8.65 Per Ton,8.65,0
Sweet corn,Stover (Tons),7.8 Per Ton,7.8,0
Sweet potato,Root (Tons),6.15 Per Ton,6.15,0
Timothy,"Hay, green chop, Early to mid bloom (Tons)",8.5 Per Ton,8.5,0
Timothy,"Hay, green chop, Late bloom (Tons)",6 Per Ton,6,0
Timothy,"Hay, green chop, Mature (Tons)",5 Per Ton,5,0
Timothy,"Hay, green chop, Vegetative (Tons)",11.5 Per Ton,11.5,0
Timothy,"Hay, sun-cured, Early to mid bloom (Tons)",27 Per Ton,27,0
Timothy,"Hay, sun-cured, Late bloom (Tons)",20.5 Per Ton,20.5,0
Timothy,"Hay, sun-cured, Mature (Tons)",16.5 Per Ton,16.5,0
Timothy,"Hay, sun-cured, Vegetative (Tons)",38 Per Ton,38,0
Tobacco,Burley (CWT),3 Per CWT,3,0
Tobacco,Flue-cured (CWT),1.6 Per CWT,1.6,0
Tobacco,Maryland type (CWT),2.55 Per CWT,2.55,0
Tomato,(Tons),3.25 Per Ton,3.25,0
Vetch,"Common, Full bloom (Tons)",49.5 Per Ton,49.5,2
Vetch,"Common, Hay, early bloom (Tons)",61.5 Per Ton,61.5,2
Vetch,"Green chop, Early bloom (Tons)",18.5 Per Ton,18.5,2
Vetch,"Green chop, Full bloom (Tons)",15 Per Ton,15,2
Vetch,"Hairy, fresh, Mid bloom (Tons)",18.5 Per Ton,18.5,2
Watermelon,(Tons),2.25 Per Ton,2.25,0
Wheat,"Grain, Hard red spring (Bushels)",1.35 Per Bushel,1.35,0
Wheat,"Grain, Hard red winter (Bushels)",1.2 Per Bushel,1.2,0
