Crop Type,Category,Avg N harvested (lb N/unit),N Per Unit,Legume,Percent N of Dry Matter,Percent Moisture 
Please select crop,,0,0,0,0,0
Alfalfa,"Green chop, Early bloom (Tons)",15.5 Per Ton,15.5,0.7,3.15,75
Alfalfa,"Green chop, Full bloom (Tons)",13 Per Ton,13,0.7,2.6,75
Alfalfa,"Green chop, Mid bloom (Tons)",14.5 Per Ton,14.5,0.7,2.9,75
Alfalfa,"Green chop, Vegetative (Tons)",17.5 Per Ton,17.5,0.7,3.55,75
Alfalfa,"Hay, sun-cured, Early bloom (Tons)",51.5 Per Ton,51.5,0.7,3.05,15
Alfalfa,"Hay, sun-cured, Full bloom (Tons)",42.5 Per Ton,42.5,0.7,2.5,15
Alfalfa,"Hay, sun-cured, Mid bloom (Tons)",46.5 Per Ton,46.5,0.7,2.75,15
Alfalfa,"Hay, sun-cured, Vegetative (Tons)",56.5 Per Ton,56.5,0.7,3.3,15
Asparagus,(Tons),7.8 Per Ton,7.8,0,5.5,92
Barley,Grain (Bushels),0.865 Per Bushel,0.865,0,2.1,14
Barley,Straw (Tons),13 Per Ton,13,0,0.73,10
Beet,"Red table, roots (Tons)",5 Per Ton,5,0,1.95,87
Beet,"Red table, roots, Tops (Tons)",11 Per Ton,11,0,3.5,85
Bermudagrass,"Green chop, Early to mid bloom (Tons)",9.5 Per Ton,9.5,0,1.9,75
Bermudagrass,"Green chop, Full bloom to mature (Tons)",6.5 Per Ton,6.5,0,1.25,75
Bermudagrass,"Green chop, Vegetative (Tons)",14 Per Ton,14,0,2.75,75
Bermudagrass,"Hay, sun-cured, Early to mid bloom (Tons)",29 Per Ton,29,0,1.7,15
Bermudagrass,"Hay, sun-cured, Full bloom to mature (Tons)",19 Per Ton,19,0,1.1,15
Bermudagrass,"Hay, sun-cured, Vegetative (Tons)",42.5 Per Ton,42.5,0,2.5,15
Birdsfoot,"Trefoil, Green chop, Early bloom (Tons)",16.5 Per Ton,16.5,0,3.2,75
Birdsfoot,"Trefoil, Green chop, Mid to full bloom (Tons)",11.5 Per Ton,11.5,0,2.3,75
Birdsfoot,"Trefoil, Hay, early bloom (Tons)",52.5 Per Ton,52.5,0,3.1,15
Birdsfoot,"Trefoil, Hay, Mid to full bloom (Tons)",37.5 Per Ton,37.5,0,2.2,15
Bluegrass,"Kentucky, Hay, green chop, Mature (Tons)",5 Per Ton,5,0,1.05,75
Bluegrass,"Kentucky, Hay, green chop, Mid bloom (Tons)",10 Per Ton,10,0,2,75
Bluegrass,"Kentucky, Hay, sun-cured, Mature (Tons)",17.5 Per Ton,17.5,0,1,15
Bluegrass,"Kentucky, Hay, sun-cured, Mid bloom (Tons)",29 Per Ton,29,0,1.75,15
Bluestem,Early bloom (Tons),22.5 Per Ton,22.5,0,1.4,20
Bluestem,Full bloom (Tons),17.5 Per Ton,17.5,0,1.1,20
Bluestem,Mature (Tons),11.5 Per Ton,11.5,0,0.7,20
Broccoli,(Tons),12 Per Ton,12,0,5.9,90
Bromegrass,"Smooth, Hay, green chop, Early bloom (Tons)",11 Per Ton,11,0,2.25,75
Bromegrass,"Smooth, Hay, green chop, Mature (Tons)",5 Per Ton,5,0,0.95,75
Bromegrass,"Smooth, Hay, green chop, Mid to late bloom (Tons)",9.5 Per Ton,9.5,0,1.8,75
Bromegrass,"Smooth, Hay, green chop, Vegetative (Tons)",16.5 Per Ton,16.5,0,3.35,75
Bromegrass,"Smooth, Hay, sun-cured, Early bloom (Tons)",36 Per Ton,36,0,2.1,15
Bromegrass,"Smooth, Hay, sun-cured, Mature (Tons)",16.5 Per Ton,16.5,0,0.95,15
Bromegrass,"Smooth, Hay, sun-cured, Mid to late bloom (Tons)",30.5 Per Ton,30.5,0,1.8,15
