SAMPLE_ID,SAMP_DATE,LABNO,WUWN,GROUP_ID,YEAR,YEAR_COMBINED,COUNTY,TOWNSHIP,TOWN,RANGE,RANGE_DIR,SECTION,QS,QQS,pH_Qual,pH,pH_Rel,Cond_Qual,Conductivity,Cond_Rel,Alk_Qual,Alkalinity,Alk_Rel,Total.Hardness,Thard_Rel,Nitrate,NO3_Rel,Cl_Qual,Chloride,Cl_Rel,SI_Qual,SI,SI_Rel,As_Qual,Arsenic,As_Rel,Ca_Qual,Calcium,Ca_Rel,Cu_Qual,Copper,Cu_Rel,Fe_Qual,Iron,Fe_Rel,K_Qual,Potassium,K_Rel,Mg_Qual,Magnesium,Mg_Rel,Mn_Qual,Manganese,Mn_Rel,Na_Qual,Sodium,Na_Rel,Pb_Qual,Lead,Pb_Rel,SO4_Qual,Sulfate,SO4_Rel,Zn_Qual,Zinc,Zn_Rel,P_Qual,P,P_Rel,PROJECT_ID,LONGITUDE,LATITUDE,ID,X1100,X1200,X2110,X2120,X2130,X2140,X3110,X3120,X3210,X3220,X4110,X4120,X4130,X4210,X4220,X4230,X4240,X4250,X4300,X5000,X6100,X6210,X6220,X6230,X6310,X6320,X6330,X6410,X6420,X6430,X6440,X6450,X7000,X8000,X65535,area.x,area2,CASH_PERC,CORN_PERC,DAIRY_PERC,URBAN_area,URBAN_PERC,HAY_PERC,PASTURE_PERC,AG_area,AG_PERC,POT_VEG_PERC,Excessively.drained,Somewhat.excessively.drained,Well.drained,Moderately.well.drained,Somewhat.poorly.drained,Poorly.drained,Very.poorly.drained,Water,area.ssurgo,area_ssurgo_nowater,perc_wd,perc_pd,perc_vpd,perc_sed,perc_spd,perc_mwd,perc_ed,weighted.rank,cnt,cnt_Thard,THard,HAY_PAST,AG_HAY_PAST,ROWCROP,DRAIN_CAT,AG_CAT,HAY_CAT,PASTURE_CAT,HAY_PAST_CAT,DAIRY_CAT,ROWCROP_CAT,AG_HAY_PAST_CAT,URBAN_CAT
127719,5/17/2022,2200238-01,YT484,571,2022,2022&2023,BARRON,DALLAS,32,12,W,10,NW,SE,NA,6.5,1,NA,199,1,NA,78,1,96,1,1.8,1,,4,1,NA,-2,1,<,0.005,1,,21.6,1,,0.014,1,<,0.005,1,,0.908,1,,10.14,1,<,0.001,1,NA,0.962,1,<,0.004,1,NA,13.59,1,,0.021,1,,0.132,1,40001,-91.84249495,45.27525582,262,NA,NA,87300,NA,66600,NA,255600,25200,9000,9000,NA,24300,NA,198000,NA,21600,13500,28800,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,753300,768600,0.113583138,0,0.086651054,0,0,0.332552693,0.032786885,153900,0.200234192,0,NA,NA,599014.71,89990.46,35945.91,46503.45,NA,NA,771454.53,771454.53,0.776474422,0.060280222,0,0,0.046594982,0.116650375,0,4.609318996,1,0,96,0.365339578,0.56557377,0.113583138,Well Drained,0-25%,25-50%,0-25%,25-50%,0-25%,0-25%,50-75%,0-2.5%
127720,5/16/2022,2200238-02,XF865,571,2022,2022&2023,BARRON,LAKELAND,36,13,W,32,NE,SE,NA,6.88,1,NA,304,1,NA,136,1,NA,5,0.05,1,,18.3,1,NA,-2.7,5,<,0.005,1,,0.21,5,,0.003,1,,0.227,5,,0.063,1,,0.113,5,,0.004,1,NA,75.25,5,<,0.004,1,NA,3.97,1,,0.006,1,,0.06,1,40002,-91.99492122,45.56278674,202,NA,32400,NA,NA,NA,NA,NA,27000,NA,NA,34200,141300,NA,1800,NA,197100,NA,NA,NA,187200,NA,15300,NA,35100,54900,32400,NA,17100,NA,NA,NA,1800,NA,NA,NA,671400,777600,0,0,0,32400,0.041666667,0,0.034722222,0,0,0,10557.54,NA,262933.02,133728.84,9300.69,11814.39,109345.95,234528.21,772208.64,537680.43,0.489013558,0.021972885,0.203366059,0,0.017297803,0.248714353,0.019635344,3.87657784,1,1,1,0.034722222,0.034722222,0,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,2.5-5%
127721,5/9/2022,2200238-03,MT778,571,2022,2022&2023,BARRON,MAPLE GROVE,33,12,W,16,NW,SE,NA,6.24,1,NA,72,1,NA,29,1,29,1,1,1,,1.2,1,NA,-3.1,1,<,0.005,1,,7.9,1,,0.005,1,,0.128,1,,0.652,1,,2.16,1,,0.002,1,NA,1.654,1,<,0.004,1,NA,0.85,1,,0.013,1,,0.554,1,40003,-91.85970794,45.34676826,33,NA,NA,687600,NA,44100,NA,NA,39600,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772200,772200,0.89044289,0,0.057109557,0,0,0,0.051282051,731700,0.947552448,0,1256.85,NA,273490.56,475843.41,14328.09,1005.48,6786.99,NA,772711.38,772711.38,0.353936239,0.001301236,0.008783344,0,0.018542615,0.61581002,0.001626545,4.311320755,1,0,29,0.051282051,0.998834499,0.89044289,Moderately Well Drained,75-100%,0-25%,0-25%,0-25%,0-25%,75-100%,75-100%,0-2.5%
127722,5/9/2022,2200238-06,ZD126,571,2022,2022&2023,BARRON,SIOUX CREEK,32,11,W,1,SW,SW,NA,6.31,1,NA,121,1,NA,27,1,NA,5,4.3,1,,4.7,1,NA,-3.9,5,<,0.005,1,<,0.01,5,,0.001,1,<,0.005,5,,0.027,1,<,0.007,5,<,0.001,1,NA,24.84,5,<,0.004,1,NA,7.87,1,<,0.003,1,,0.036,1,40004,-91.68057966,45.28300521,275,NA,NA,80100,NA,74700,NA,1800,117900,5400,11700,NA,21600,NA,7200,8100,284400,NA,NA,NA,54000,NA,NA,7200,23400,NA,NA,NA,58500,NA,NA,900,18000,NA,NA,NA,697500,774900,0.103368177,0,0.096399535,0,0,0.00232288,0.152148664,154800,0.199767712,0,358453.62,129706.92,7038.36,48263.04,3016.44,20612.34,124176.78,81443.88,772711.38,691267.5,0.010181818,0.029818182,0.179636364,0.187636364,0.004363636,0.069818182,0.518545455,5.338181818,1,1,1,0.154471544,0.354239256,0.103368177,Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,25-50%,0-2.5%
127723,5/13/2022,2200238-07,UZ295,571,2022,2022&2023,BARRON,BEAR LAKE,36,12,W,1,SE,SW,NA,6.77,1,NA,220,1,NA,114,1,107,1,0.3,1,,1.9,1,NA,-1.4,1,<,0.005,1,,28.57,1,,0.002,1,,0.033,1,,0.543,1,,8.685,1,,0.006,1,NA,3.609,1,<,0.004,1,NA,5.54,1,,0.01,1,,0.017,1,40005,-91.79555327,45.62723878,155,NA,NA,34200,NA,NA,NA,NA,33300,18900,NA,NA,98100,NA,23400,NA,242100,NA,40500,NA,277200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767700,767700,0.044548652,0,0,0,0,0,0.043376319,34200,0.044548652,0,6535.62,NA,NA,424815.3,26896.59,7038.36,502.74,306420.03,772208.64,465788.61,0,0.015110631,0.001079331,0,0.057744199,0.912034539,0.014031301,3.950890448,1,0,107,0.043376319,0.087924971,0.044548652,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-2.5%
127724,5/16/2022,2200238-08,UG165,571,2022,2022&2023,BARRON,BEAR LAKE,36,12,W,5,SW,NW,NA,6.69,1,NA,267,1,NA,154,1,136,1,0.05,1,,0.9,1,NA,-1.3,1,<,0.005,1,,33.78,1,<,0.001,1,,6.027,1,,1.05,1,,12.61,1,,0.217,1,NA,3.072,1,<,0.004,1,NA,0.16,1,,0.439,1,,0.244,1,40006,-91.88558576,45.63067422,137,NA,NA,NA,NA,NA,NA,NA,10800,10800,NA,NA,31500,NA,198900,NA,472500,NA,900,11700,NA,6300,NA,9000,11700,13500,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,764100,778500,0,0,0,0,0,0,0.013872832,0,0,0,1005.48,NA,NA,762907.95,NA,2513.7,NA,6284.25,772711.38,766427.13,0,0.003279764,0,0,0,0.995408331,0.001311906,3.997376189,1,0,136,0.013872832,0.013872832,0,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-2.5%
127725,5/18/2022,2200238-11,UJ102,571,2022,2022&2023,BARRON,BEAR LAKE,36,12,W,36,NW,NE,NA,6.65,1,NA,235,1,NA,81,1,103,1,3.5,1,,15.5,1,NA,-1.7,1,<,0.005,1,,25.89,1,,0.005,1,,0.021,1,,0.552,1,,9.306,1,,0.002,1,NA,4.636,1,<,0.004,1,NA,3.93,1,,0.008,1,,0.048,1,40007,-91.79965806,45.5655067,138,8100,8100,77400,NA,332100,NA,109800,66600,14400,13500,7200,8100,NA,47700,NA,77400,NA,7200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777600,777600,0.099537037,0,0.427083333,16200,0.020833333,0.141203704,0.085648148,409500,0.52662037,0,NA,NA,NA,737268.21,34186.32,NA,NA,NA,771454.53,771454.53,0,0,0,0,0.044314109,0.955685891,0,3.955685891,1,0,103,0.226851852,0.753472222,0.099537037,Moderately Well Drained,50-75%,0-25%,0-25%,0-25%,25-50%,0-25%,75-100%,0-2.5%
127726,5/9/2022,2200238-12,QU686,571,2022,2022&2023,BARRON,CUMBERLAND,35,13,W,17,SW,SW,NA,6.73,1,NA,345,1,NA,183,1,174,1,1.9,1,,2.7,1,NA,-1.1,1,<,0.005,1,,41.65,1,,0.129,1,<,0.005,1,,0.762,1,,17.02,1,<,0.001,1,NA,3.577,1,,0.008,1,NA,3.17,1,,0.887,1,,0.063,1,40008,-92.00925151,45.51201824,74,12600,45000,67500,NA,390600,NA,9900,162000,30600,900,16200,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,22500,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,NA,NA,760500,776700,0.086906141,0,0.502896871,57600,0.074159907,0.012746234,0.208574739,458100,0.589803013,0,3770.55,NA,651802.41,8295.21,7289.73,46754.82,NA,54547.29,772460.01,717912.72,0.907913165,0.06512605,0,0,0.010154062,0.011554622,0.005252101,4.783263305,1,0,174,0.221320973,0.811123986,0.086906141,Well Drained,50-75%,0-25%,0-25%,0-25%,50-75%,0-25%,75-100%,5-30%
127727,5/2/2022,2200238-13,XY698,571,2022,2022&2023,BARRON,DOYLE,35,10,W,6,NW,NW,NA,6.82,1,NA,342,1,NA,137,1,159,1,5,1,,14,1,NA,-1.1,1,<,0.005,1,,42.26,1,<,0.001,1,<,0.005,1,,1.103,1,,13.08,1,,0.104,1,NA,4.91,1,<,0.004,1,NA,7.51,1,<,0.003,1,,0.074,1,40009,-91.66006816,45.55036204,227,NA,26100,5400,137700,220500,NA,38700,60300,52200,4500,101700,73800,NA,900,NA,47700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,769500,777600,0.006944444,0.177083333,0.283564815,26100,0.033564815,0.049768519,0.077546296,363600,0.467592593,0,17093.16,151576.11,482881.77,47257.56,11814.39,14830.83,12317.13,34940.43,772711.38,737770.95,0.65451448,0.020102215,0.01669506,0.205451448,0.016013629,0.064054514,0.023168654,5.028620102,1,0,159,0.127314815,0.594907408,0.184027777,Well Drained,25-50%,0-25%,0-25%,0-25%,25-50%,0-25%,50-75%,2.5-5%
127728,5/18/2022,2200238-14,ZX250,571,2022,2022&2023,BARRON,LAKELAND,36,13,W,30,SE,SW,NA,7.41,1,NA,337,1,NA,170,1,172,1,2.1,1,,3,1,NA,-0.5,1,<,0.005,1,,41.84,1,,0.002,1,,0.02,1,,0.76,1,,16.47,1,,0.002,1,NA,3.583,1,<,0.004,1,NA,7.51,1,,0.005,1,,0.024,1,40010,-92.0190534,45.5677395,293,NA,54900,NA,NA,NA,NA,5400,76500,NA,NA,NA,66600,NA,64800,NA,314100,NA,NA,NA,NA,NA,9000,NA,NA,80100,59400,NA,900,39600,NA,NA,NA,NA,NA,NA,591300,771300,0,0,0,54900,0.07117853,0.007001167,0.099183197,0,0,0,4524.66,NA,49017.15,638731.17,13573.98,8295.21,50274,8295.21,772711.38,764416.17,0.064123644,0.010851694,0.06576784,0,0.017757317,0.835580401,0.005919106,3.845116738,1,0,172,0.106184364,0.106184364,0,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,5-30%
