PROJECT_ID,cnt.x,mean_no3.x,SAMPLE_ID,SAMP_DATE,LABNO,WUWN,GROUP_ID,YEAR,COUNTY,TOWNSHIP,TOWN,RANGE,RANGE_DIR,SECTION,QS,QQS,pH_Qual,pH,pH_Rel,Cond_Qual,Conductivity,Cond_Rel,Alk_Qual,Alkalinity,Alk_Rel,Thard_Qual,Total.Hardness,Thard_Rel,NO3_Qual,Nitrate,NO3_Rel,Cl_Qual,Chloride,Cl_Rel,SI_Qual,SI,SI_Rel,Bact_Qual,Bacteria,Bact_Rel,Ecoli_Qual,Ecoli,Ecoli_Rel,Tri_Qual,Triazine,Tri_Rel,DACT_Qual,DACT,DACT_Rel,As_Qual,Arsenic,As_Rel,Ca_Qual,Calcium,Ca_Rel,Cu_Qual,Copper,Cu_Rel,Fe_Qual,Iron,Fe_Rel,K_Qual,Potassium,K_Rel,Mg_Qual,Magnesium,Mg_Rel,Mn_Qual,Manganese,Mn_Rel,Na_Qual,Sodium,Na_Rel,Pb_Qual,Lead,Pb_Rel,SO4_Qual,Sulfate,SO4_Rel,Zn_Qual,Zinc,Zn_Rel,COMMENT,PROJECT_ID,LONGITUDE,LATITUDE,cnt.y,cnt_Thard,THard,cnt,mean_no3.y,DATE,X..i...1.x,NO3_PVALUE,NO3_SLOPE,mean_Cl.y,CL_PVALUE,CL_SLOPE
10002,4,0.05,51545,8/5/2002,205-02-84,,232,2002,CALUMET,RANTOUL,19,20,E,15,NW,NW,NA,7.76,1,NA,568,1,,322,1,,312,1,<,0.05,1,,2.5,1,NA,0.7,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10002,-88.09881936,44.12334938,1,0,312,1,0.05,8/5/2002,df1$Nitrate,NA,0,21.175,0.089429359,11.98333333
10002,4,0.05,68162,4/16/2007,10307016,,294,2007,CALUMET,RANTOUL,19,20,E,15,NW,NW,NA,7.87,1,NA,661,1,,320,1,,360,1,<,0.05,1,,14.9,1,NA,0.8,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10002,-88.09881936,44.12334938,1,0,360,1,0.05,4/16/2007,df1$Nitrate,NA,0,21.175,0.089429359,11.98333333
10002,4,0.05,103982,5/7/2018,18-157-159,,452,2018,CALUMET,POTTER,19,20,E,15,NW,NW,NA,8,1,NA,875,1,,355,1,,447,1,<,0.05,1,,30.1,1,NA,0.8,1,NA,0,1,NA,NA,NA,,NA,NA,<,0.1,3,<,0.005,5,,1.3,5,,0.004,5,<,0.01,5,,1.3,5,,1.3,5,<,0.001,5,,7.7,5,<,0.005,5,NA,1.1,5,<,0.002,5,,10002,-88.09881936,44.12334938,1,0,447,1,0.05,5/7/2018,df1$Nitrate,NA,0,21.175,0.089429359,11.98333333
10002,4,0.05,127276,5/9/2022,2200231-BV,,570,2022,CALUMET,RANTOUL,19,20,E,15,NW,NW,NA,7.76,1,NA,881,1,,402,1,,471,1,<,0.05,1,,37.2,1,NA,0.7,1,NA,1,1,NA,0,1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10002,-88.09881936,44.12334938,1,0,471,1,0.05,5/9/2022,df1$Nitrate,NA,0,21.175,0.089429359,11.98333333
10022,4,0.0625,54234,6/23/2003,4903073,,242,2003,CALUMET,RANTOUL,19,20,E,15,NW,SW,NA,8.11,1,NA,703,1,,338,1,,380,1,<,0.05,1,,20,1,NA,1.1,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10022,-88.10026281,44.11883158,1,0,380,1,0.0625,6/23/2003,df1$Nitrate,0.37109337,0.008333333,23.15,0.089429359,2.3
10022,4,0.0625,68163,4/16/2007,10307017,,294,2007,CALUMET,RANTOUL,19,20,E,15,NW,SW,NA,7.95,1,NA,718,1,,336,1,,396,1,<,0.05,1,,22,1,NA,1,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10022,-88.10026281,44.11883158,1,0,396,1,0.0625,4/16/2007,df1$Nitrate,0.37109337,0.008333333,23.15,0.089429359,2.3
10022,4,0.0625,104017,5/7/2018,18-157-199,,452,2018,CALUMET,POTTER,19,20,E,15,NW,SW,NA,7.82,1,NA,724,1,,347,1,,415,1,<,0.05,1,,22.8,1,NA,0.6,1,NA,0,1,NA,NA,NA,,NA,NA,<,0.1,1,<,0.005,1,,0.1,5,,0.067,1,<,0.01,5,,8.9,1,,0.4,5,<,0.001,1,,208.6,5,<,0.005,1,NA,45.5,1,,0.01,1,,10022,-88.10026281,44.11883158,1,0,415,1,0.0625,5/7/2018,df1$Nitrate,0.37109337,0.008333333,23.15,0.089429359,2.3
10022,4,0.0625,123700,9/13/2021,2100536-13,,552,2021,CALUMET,RANTOUL,19,20,E,15,NW,SW,NA,7.95,1,NA,816,1,,364,1,,423,1,,0.1,1,,27.8,1,NA,0.8,1,NA,0,1,NA,NA,NA,,NA,NA,<,0.1,3,<,0.005,1,,0.18,5,,0.033,1,,0.012,5,,0.341,1,,0.033,5,<,0.001,1,,209.6,5,<,0.004,1,NA,60.85,1,,0.033,1,,10022,-88.10026281,44.11883158,1,0,423,1,0.0625,9/13/2021,df1$Nitrate,0.37109337,0.008333333,23.15,0.089429359,2.3
10131,4,9.7,53794,5/18/2003,4903043,,240,2003,CALUMET,NEW HOLSTEIN,17,20,E,17,SE,SE,NA,7.74,1,NA,570,1,,300,1,,332,1,,5.9,1,,11,1,NA,0.7,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10131,-88.12280041,43.93674211,1,0,332,1,9.7,5/18/2003,df1$Nitrate,1,0.833333333,17.1,0.308179547,2.833333333
10131,4,9.7,77019,8/30/2010,38810051,,347,2010,CALUMET,NEW HOLSTEIN,17,20,E,17,SE,SE,NA,7.68,1,NA,596,1,,296,1,,352,1,,11.1,1,,17.5,1,NA,0.6,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,10131,-88.12280041,43.93674211,1,0,352,1,9.7,8/30/2010,df1$Nitrate,1,0.833333333,17.1,0.308179547,2.833333333
