"","SAMPLE_ID","SAMP_DATE","LABNO","WUWN.x","GROUP_ID","YEAR","COUNTY","TOWNSHIP","TOWN","RANGE","RANGE_DIR","SECTION","QS","QQS","pH_Qual","pH","pH_Rel","Cond_Qual","Conductivity","Cond_Rel","Alk_Qual","Alkalinity","Alk_Rel","Total.Hardness","Thard_Rel","Nitrate","NO3_Rel","Cl_Qual","Chloride","Cl_Rel","SI_Qual","SI","SI_Rel","As_Qual","Arsenic","As_Rel","Ca_Qual","Calcium","Ca_Rel","Cu_Qual","Copper","Cu_Rel","Fe_Qual","Iron","Fe_Rel","K_Qual","Potassium","K_Rel","Mg_Qual","Magnesium","Mg_Rel","Mn_Qual","Manganese","Mn_Rel","Na_Qual","Sodium","Na_Rel","Pb_Qual","Lead","Pb_Rel","SO4_Qual","Sulfate","SO4_Rel","Zn_Qual","Zinc","Zn_Rel","P_Qual","P","P_Rel","PROJECT_ID","ID","WUWN.y","X1100","X1200","X2110","X2120","X2130","X2140","X3110","X3120","X3210","X3220","X4110","X4120","X4130","X4210","X4220","X4230","X4240","X4250","X4300","X5000","X6100","X6210","X6220","X6230","X6310","X6320","X6330","X6410","X6420","X6430","X6440","X6450","X7000","X8000","X65535","area.x","area2","CASH_PERC","CORN_PERC","DAIRY_PERC","URBAN_area","URBAN_PERC","HAY_PERC","PASTURE_PERC","AG_area","AG_PERC","POT_VEG_PERC","Excessively.drained","Somewhat.excessively.drained","Well.Drained","Moderately.well.drained","Somewhat.poorly.drained","Poorly.drained","Very.poorly.drained","Water","area.ssurgo","area_ssurgo_nowater","perc_wd","perc_pd","perc_vpd","perc_sed","perc_spd","perc_mwd","perc_ed","weighted.rank","LONGITUDE","LATITUDE","Construction.Date","Well.Bottom..ft","Static.Water.Level..ft","Casing.Bottom..ft","Casing.Below.Water.Table..ft..","Depth.to.Bedrock","Bedrock.Top","Well.Finished","Comments","cnt","cnt_Thard","THard","Top.Bedrock","HAY_PAST","AG_HAY_PAST","ROWCROP","DB_WT","WELL_DEPTH_CAT","DRAIN_CAT","AG_CAT","HAY_CAT","PASTURE_CAT","HAY_PAST_CAT","DAIRY_CAT","ROWCROP_CAT","AG_HAY_PAST_CAT","URBAN_CAT"
"1",135190,"5/5/2023","2300291-01","MP575",603,2023,"JEFFERSON","JEFFERSON",6,14,"E",23,"NE","SW",NA,8.3,1,NA,592,1,NA,337,1,340,1,0.05,1,NA,1.2,1,NA,0.9,1,"<",0.005,1,"",59.18,1,"<",0.001,1,"",0.025,3,"",1.475,1,"",46.76,1,"",0.017,1,NA,2.795,1,"<",0.004,1,NA,8.23,1,"",0.013,1,"<",0.005,1,30001,1755,"MP575",33300,242100,470700,NA,270900,NA,45000,184500,NA,12600,NA,36900,NA,NA,NA,NA,341100,NA,NA,165600,NA,NA,NA,8100,NA,NA,NA,23400,NA,132300,11700,NA,NA,NA,NA,1978200,1978200,0.237943585,0,0.136942675,275400,0.13921747,0.022747953,0.093266606,741600,0.37488626,0,NA,39757.5,317176.5,194016.6,697611.6,455886,142596.9,NA,1978510,1847045.1,0.171721037,0.246819095,0.077202717,0.021524921,0.377690615,0.105041615,0,3.111833923,-88.8042219,42.96991856,36076,134,2,134,132,NA,NA,NA,NA,1,0,340,NA,0.116014559,0.490900819,0.237943585,132,"> 100 FT","Somewhat Poorly Drained","25-50%","0-25%","0-25%","0-25%","0-25%","0-25%","25-50%","5-30%"
"2",135191,"5/8/2023","2300291-03","FJ804",603,2023,"JEFFERSON","JEFFERSON",6,15,"E",12,"SW","SW",NA,8.32,1,NA,888,1,NA,375,1,248,1,0.05,1,NA,24.9,1,NA,0.9,4,"<",0.005,1,"",52.56,4,"",0.007,1,"",0.01,4,"",0.605,1,"",28.32,4,"",0.013,1,NA,120.7,4,"<",0.004,1,NA,85.66,1,"",0.009,1,"<",0.005,1,30003,2222,"FJ804",NA,34200,782100,115200,579600,NA,46800,206100,NA,73800,NA,NA,NA,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,78300,NA,NA,21600,NA,NA,NA,NA,NA,NA,NA,NA,1973700,1973700,0.39626083,0.058367533,0.293661651,34200,0.017327861,0.02371181,0.104423165,1476900,0.748290014,0,NA,45235.2,714928.2,344211.6,282366.6,264696.6,326364.9,NA,1978510,1977803.1,0.361475922,0.133833646,0.165013848,0.022871438,0.142767801,0.174037345,0,3.50174216,-88.67953294,42.98916844,33826,171,22,76,54,76,NA,NA,NA,1,0,248,NA,0.128134975,0.876424989,0.454628363,54,"50-75 FT","Moderately Well Drained","50-75%","0-25%","0-25%","0-25%","25-50%","25-50%","75-100%","0-2.5%"
"3",135192,"5/18/2023","2300291-04","YX902",603,2023,"JEFFERSON","CONCORD",7,16,"E",18,"NE","SE",NA,8.22,1,NA,871,1,NA,375,1,442,1,0.05,1,NA,48.9,1,NA,1,1,"",0.007,1,"",88.97,1,"<",0.001,1,"",0.268,1,"",1.276,1,"",53.51,1,"",0.009,1,NA,18.56,1,"<",0.004,1,NA,40.61,1,"",0.014,1,"",0.006,1,30004,1008,"YX902",NA,119700,363600,NA,398700,NA,62100,168300,1800,216000,NA,NA,NA,NA,NA,NA,150300,47700,NA,NA,NA,NA,NA,264600,6300,NA,NA,93600,NA,NA,81900,NA,NA,NA,NA,1974600,1974600,0.18413856,0,0.201914312,119700,0.060619872,0.031449407,0.085232452,762300,0.386052871,0,NA,34103.1,675524.1,167158.2,362765.1,111674.4,626401.5,NA,1978510,1977626.4,0.341583274,0.056468906,0.316744103,0.01724446,0.183434596,0.08452466,0,3.129467477,-88.64360341,43.07355395,43308,162,32,41,9,33,NA,NA,NA,1,0,442,NA,0.116681859,0.50273473,0.18413856,9,"0-25 FT","Somewhat Poorly Drained","25-50%","0-25%","0-25%","0-25%","0-25%","0-25%","50-75%","5-30%"
"4",135193,"5/8/2023","2300291-05","YX919",603,2023,"JEFFERSON","SULLIVAN",6,16,"E",3,"SW","SW",NA,8.22,1,NA,890,1,NA,374,1,461,1,13.5,1,NA,31.8,1,NA,1,1,"<",0.005,1,"",103.9,1,"",0.003,1,"<",0.007,1,"",1.346,1,"",49,1,"<",0.001,1,NA,12.09,1,"<",0.004,1,NA,25.99,1,"<",0.006,1,"<",0.005,1,30005,2860,"YX919",35100,269100,195300,15300,373500,NA,114300,364500,NA,70200,NA,NA,NA,NA,NA,6300,120600,NA,NA,NA,NA,53100,NA,259200,19800,NA,NA,83700,NA,8100,NA,NA,NA,NA,NA,1988100,1988100,0.098234495,0.00769579,0.187867813,304200,0.153010412,0.057492078,0.183340878,584100,0.293798099,0,NA,80045.1,897812.7,55483.8,274238.4,272471.4,392097.3,NA,1978510,1972148.7,0.455245946,0.138159663,0.19881731,0.040587761,0.13905564,0.02813368,0,3.52459457,-88.59582278,43.006038,43493,162,36,65,29,64,NA,NA,NA,1,0,461,NA,0.240832956,0.534631055,0.105930285,29,"25-50 FT","Moderately Well Drained","25-50%","0-25%","0-25%","0-25%","0-25%","0-25%","50-75%","5-30%"
"5",135194,"5/12/2023","2300291-07","CZ722",603,2023,"JEFFERSON","OAKLAND",6,13,"E",11,"SE","SW",NA,8.26,1,NA,720,1,NA,330,1,399,1,1.7,1,NA,23.9,1,NA,1,1,"<",0.005,1,"",88.19,1,"",0.005,1,"",0.051,1,"",0.562,1,"",43.38,1,"",0.007,1,NA,4.197,1,"<",0.004,1,NA,36.27,1,"",0.055,1,"",0.006,1,30007,1249,"CZ722",NA,NA,1231200,NA,395100,NA,153900,45900,NA,38700,NA,8100,NA,NA,NA,15300,95400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983600,1983600,0.620689655,0,0.199183303,0,0,0.077586207,0.023139746,1626300,0.819872958,0,NA,3887.4,997471.5,754332.3,165037.8,NA,57604.2,NA,1978510,1978333.2,0.504197928,0,0.029117542,0.001964987,0.083422651,0.381296892,0,4.337352626,-88.92389291,42.99429251,33508,102,15,54,39,54,NA,NA,NA,1,0,399,NA,0.100725953,0.920598911,0.620689655,39,"25-50 FT","Moderately Well Drained","75-100%","0-25%","0-25%","0-25%","0-25%","50-75%","75-100%","0-2.5%"
"6",135195,"5/1/2023","2300291-08","EP090",603,2023,"JEFFERSON","JEFFERSON",6,15,"E",14,"SW","NE",NA,8.22,1,NA,1129,1,NA,405,1,569,1,0.05,1,NA,110,1,NA,1.1,1,"<",0.005,1,"",116.1,1,"",0.009,1,"",0.055,1,"",1.03,1,"",67.76,1,"",0.005,1,NA,33.73,1,"<",0.004,1,NA,57.72,1,"",0.008,1,"<",0.005,1,30008,2184,"EP090",NA,30600,337500,26100,404100,NA,51300,349200,NA,43200,NA,NA,NA,NA,NA,NA,376200,61200,NA,NA,NA,NA,NA,16200,12600,NA,NA,197100,NA,32400,33300,NA,NA,NA,NA,1971000,1971000,0.171232877,0.013242009,0.205022831,30600,0.015525114,0.026027397,0.17716895,767700,0.389497717,0,NA,25444.8,864593.1,214513.8,401462.4,212393.4,258335.4,NA,1978510,1976742.9,0.437382676,0.107446143,0.130687405,0.012872084,0.203092876,0.108518816,0,3.653079467,-88.69272037,42.98122613,33767,185,81,111,30,111,NA,NA,NA,1,0,569,NA,0.203196347,0.592694064,0.184474886,30,"25-50 FT","Moderately Well Drained","25-50%","0-25%","0-25%","0-25%","0-25%","0-25%","50-75%","0-2.5%"
"7",135196,"5/18/2023","2300291-09","WL789",603,2023,"JEFFERSON","KOSHKONONG",6,14,"E",31,"SW","SW",NA,8.15,1,NA,853,1,NA,368,1,430,1,9.4,1,NA,36,1,NA,0.9,1,"",0.007,1,"",92.18,1,"",0.014,1,"<",0.007,5,"",2.834,1,"",48.47,1,"<",0.001,1,NA,13.7,1,"<",0.004,1,NA,19.45,1,"",0.017,1,"<",0.005,1,30009,2251,"WL789",NA,30600,1096200,53100,207900,NA,9000,45900,NA,23400,NA,NA,NA,NA,NA,22500,291600,NA,NA,NA,NA,NA,NA,44100,NA,NA,NA,NA,NA,162000,NA,NA,NA,NA,NA,1986300,1986300,0.551880381,0.026733122,0.104666969,30600,0.015405528,0.004531038,0.023108292,1357200,0.683280471,0,NA,145070.7,1112503.2,34456.5,178467,238721.7,268230.6,NA,1978510,1977449.7,0.562594942,0.120722009,0.135644715,0.073362523,0.090251095,0.017424716,0,3.970690734,-88.89341886,42.9368392,39524,142,58,75,17,72,NA,NA,NA,1,0,430,NA,0.02763933,0.710919801,0.578613503,17,"0-25 FT","Moderately Well Drained","50-75%","0-25%","0-25%","0-25%","0-25%","50-75%","50-75%","0-2.5%"
"8",135197,"5/16/2023","2300291-10","YT661",603,2023,"JEFFERSON","OAKLAND",6,13,"E",7,"NE","NW",NA,8.32,1,NA,739,1,NA,319,1,410,1,0.05,1,NA,40,1,NA,1,1,"<",0.005,1,"",82.08,1,"",0.004,1,"",4.168,1,"",1.247,1,"",49.77,1,"",0.095,1,NA,15.75,1,"<",0.004,1,NA,38.52,1,"",0.014,1,"",0.012,1,30010,1326,"YT661",51300,674100,41400,NA,13500,NA,NA,102600,NA,22500,NA,NA,NA,NA,NA,18900,371700,NA,NA,509400,NA,18000,NA,58500,NA,NA,NA,45000,NA,52200,NA,NA,NA,NA,NA,1979100,1979100,0.020918599,0,0.006821282,725400,0.366530241,0,0.051841746,54900,0.027739882,0,NA,333786.3,480977.4,216634.2,251444.1,40641,120686.1,NA,1978510,1444169.1,0.33304784,0.028141441,0.083567845,0.231126881,0.174109874,0.150006118,0,4.31420531,-89.00200186,43.00573056,42905,143,5,120,115,117,NA,NA,NA,1,0,410,NA,0.051841746,0.079581628,0.020918599,115,"> 100 FT","Moderately Well Drained","0-25%","0-25%","0-25%","0-25%","0-25%","0-25%","0-25%","30-100%"
"9",135198,"5/3/2023","2300291-11","NZ337",603,2023,"JEFFERSON","JEFFERSON",6,14,"E",7,"SW","SE",NA,8.25,1,NA,814,1,NA,348,1,409,1,5.3,1,NA,35.7,1,NA,1,1,"<",0.005,1,"",91.39,1,"",0.011,1,"",0.021,1,"",1.645,1,"",43.81,1,"",0.004,1,NA,18.4,1,"<",0.004,1,NA,37.3,1,"<",0.006,1,"<",0.005,1,30011,2729,"NZ337",13500,NA,412200,291600,305100,NA,179100,427500,NA,149400,NA,NA,NA,NA,NA,49500,98100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,NA,NA,NA,NA,1971900,1971900,0.209036969,0.147877681,0.15472387,13500,0.006846189,0.090826107,0.216795984,1008900,0.511638521,0,NA,165921.3,1014964.8,230770.2,114148.2,28802.1,404466.3,NA,1978510,1959072.9,0.518084243,0.014701903,0.206458014,0.084693786,0.058266438,0.117795616,0,3.980427528,-88.89078106,42.99332311,36620,240,140,148,8,148,NA,NA,NA,1,0,409,NA,0.307622091,0.819260612,0.35691465,8,"0-25 FT","Moderately Well Drained","50-75%","0-25%","0-25%","25-50%","0-25%","25-50%","75-100%","0-2.5%"
"10",135199,"5/6/2023","2300291-13","UQ083",603,2023,"JEFFERSON","CONCORD",7,16,"E",1,"SE","NE",NA,8.29,1,NA,750,1,NA,361,1,419,1,0.4,1,NA,21.6,1,NA,1,1,"<",0.005,1,"",89.71,1,"",0.011,1,"",0.031,3,"",1.196,1,"",47.27,1,"",0.026,1,NA,4.105,1,"<",0.004,1,NA,38.96,1,"<",0.006,1,"<",0.005,1,30013,906,"UQ083",NA,29700,613800,NA,609300,NA,69300,175500,NA,206100,NA,NA,NA,NA,NA,NA,58500,NA,NA,10800,NA,80100,NA,24300,NA,NA,NA,92700,NA,12600,6300,NA,NA,NA,NA,1989000,1989000,0.308597285,0,0.306334842,29700,0.014932127,0.034841629,0.088235294,1223100,0.614932127,0,NA,22440.9,980508.3,20320.5,282013.2,89410.2,70503.3,NA,1978510,1465196.4,0.669199228,0.061022672,0.048118669,0.015315967,0.192474674,0.013868789,0,4.240955137,-88.54358486,43.09853429,39625,97,12,97,85,NA,NA,NA,NA,1,0,419,NA,0.123076923,0.73800905,0.308597285,85,"75-100 FT","Moderately Well Drained","50-75%","0-25%","0-25%","0-25%","25-50%","25-50%","50-75%","0-2.5%"
