PROJECT_ID,cnt.x,mean_no3.x,SAMPLE_ID,SAMP_DATE,LABNO,WUWN,GROUP_ID,YEAR,COUNTY,TOWNSHIP,TOWN,RANGE,RANGE_DIR,SECTION,QS,QQS,pH_Qual,pH,pH_Rel,Cond_Qual,Conductivity,Cond_Rel,Alk_Qual,Alkalinity,Alk_Rel,Thard_Qual,Total.Hardness,Thard_Rel,NO3_Qual,Nitrate,NO3_Rel,Cl_Qual,Chloride,Cl_Rel,SI_Qual,SI,SI_Rel,Bact_Qual,Bacteria,Bact_Rel,Ecoli_Qual,Ecoli,Ecoli_Rel,Tri_Qual,Triazine,Tri_Rel,DACT_Qual,DACT,DACT_Rel,As_Qual,Arsenic,As_Rel,Ca_Qual,Calcium,Ca_Rel,Cu_Qual,Copper,Cu_Rel,Fe_Qual,Iron,Fe_Rel,K_Qual,Potassium,K_Rel,Mg_Qual,Magnesium,Mg_Rel,Mn_Qual,Manganese,Mn_Rel,Na_Qual,Sodium,Na_Rel,Pb_Qual,Lead,Pb_Rel,SO4_Qual,Sulfate,SO4_Rel,Zn_Qual,Zinc,Zn_Rel,COMMENT,PROJECT_ID.1,LONGITUDE,LATITUDE,cnt.y,cnt_Thard,THard,cnt,mean_no3.y,DATE,X..i...1.x,NO3_PVALUE,NO3_SLOPE,mean_Cl.y,CL_PVALUE,CL_SLOPE
90011,6,15.26666667,88276,4/28/2014,84-14-18,,394,2014,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,7.79,1,NA,854,1,NA,288,1,,396,1,,12.1,1,,65.5,1,NA,0.5,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,0,396,1,15.26666667,4/28/2014,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90011,6,15.26666667,92224,6/8/2015,15-180-69,,410,2015,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,7.65,1,NA,933,1,NA,364,1,,500,1,,18.8,1,,52.4,1,NA,0.5,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,0,500,1,15.26666667,6/8/2015,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90011,6,15.26666667,95900,6/6/2016,16-221-10,,425,2016,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,7.84,1,NA,924,1,NA,376,1,,292,1,,19.8,1,,37.7,1,NA,0.5,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,0,292,1,15.26666667,6/6/2016,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90011,6,15.26666667,113015,10/21/2019,1900574-14,,487,2019,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,7.63,1,NA,851,1,NA,350,1,,450,1,,15.2,1,,22.2,1,NA,0.4,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,0,450,1,15.26666667,10/21/2019,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90011,6,15.26666667,131912,10/24/2022,2200650-43,,588,2022,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,8.26,1,NA,1122,1,NA,397,1,,354,NA,,13.7,1,,88.9,1,NA,1,NA,NA,1,1,NA,0,1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,0,354,1,15.26666667,10/24/2022,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90011,6,15.26666667,139857,10/16/2023,2300619-25,,622,2023,KEWAUNEE,CASCO,24,24,E,18,NE,NE,NA,8.28,1,NA,1002,1,NA,414,1,<,NA,5,,12,1,,33.4,1,NA,-0.9,5,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90011,-87.62374985,44.55727167,1,1,1,1,15.26666667,10/16/2023,df1$Nitrate,0.452370361,-1.6,50.01666667,0.452370361,-6.42
90098,4,5.175,97910,1/9/2017,540219,RT319,1,2017,KEWAUNEE,CASCO,24,24,E,17,NW,NW,NA,7.39,1,NA,821,1,NA,352,1,,389,1,,4.2,1,,31.3,1,NA,0.1,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90098,-87.61875918,44.55776444,1,0,389,1,5.175,1/9/2017,df1$Nitrate,0.734095182,0.35,28.175,1,0.2
90098,4,5.175,122625,7/12/2021,2100362-BK,,545,2021,KEWAUNEE,CASCO,24,24,E,17,NW,NW,NA,8.02,1,NA,705,1,NA,324,1,,345,1,,5.6,1,,23.4,1,NA,0.7,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90098,-87.61875918,44.55776444,1,0,345,1,5.175,7/12/2021,df1$Nitrate,0.734095182,0.35,28.175,1,0.2
90098,4,5.175,128571,7/5/2022,2200387-FV,,576,2022,KEWAUNEE,CASCO,24,24,E,17,NW,NW,NA,8.23,1,NA,765,1,NA,372,1,,388,1,,6.1,1,,28.5,1,NA,1,1,NA,0,1,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90098,-87.61875918,44.55776444,1,0,388,1,5.175,7/5/2022,df1$Nitrate,0.734095182,0.35,28.175,1,0.2
90098,4,5.175,139929,10/16/2023,2300619-AE,,622,2023,KEWAUNEE,CASCO,24,24,E,17,NW,NW,NA,8.21,1,NA,755,1,NA,333,1,,363,1,,4.8,1,,29.5,1,NA,0.9,1,NA,1,1,NA,0,1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,90098,-87.61875918,44.55776444,1,0,363,1,5.175,10/16/2023,df1$Nitrate,0.734095182,0.35,28.175,1,0.2
