FIPS,CommunityName,StateAbbr,Region,Population,PopulationGroup,PopulationGroupOrder,RegionOrder,dollarsPerCapita,percentOfMuniBud,dollarsPerPublicTree,budgetNeeds,raPlan,raPrun,raRem,raAdmin,raOther,publicTreeAssetValue,publicTreeAssetInd,treeBoard,ordinance,ordinanceYear,writtenStratPlan,writtenStratPlanUpToDate,treeResourceInventoryExists,treeResourceInventory,canCovGoal,percentCanGoal,percentCurCan,yearsToGoal,percentCanProgress,greenSpaceAreaMeters,greenSpaceAreaFeet,currentPrunInsCyc,desiredPrunInsCyc,yearsOfPrunInsCyc,percentAttPrunInsCyc,activeManagement,strTrStockingLevel,prkTrStockingLevel,munTrStockingLevel,pubStrTrDensity,manPubTrPerCap,manPubTrPerEmp,plantedTrStab,tcAdvisoryBoard,tcOrdinance,tcBudgetValue,tcBudget,tcArborDay,tcScore,carsStaff,carsOrdinance,carsOrdMainHave,carsOrdPlantHave,carsOrdProthave,carsAdvocacy,carsManagement,carsScore,smaStaff,smaMasterPlan,smaStatus,smaAward,smaPreference,smaStandards,smaScore,cmManagement,cmFunding,cmStaffing,cmAssessment,cmProtection,cmSelection,cmStandards,cmSafety,cmRecycling,cmResourceManagement,cmInteraction,cmGreenCooperation,cmInvolvement,cmAction,cmAgencyCooperation,cmRegionalCooperation,cmAwareness,cmCommunityFramework,cmCanopyCover,cmAge,cmSpeciesMix,cmVegetationResource,cmScore,cmRelativeScore,cmResourceManagementRelative,cmCommunityFrameworkRelative,cmVegetationResourceRelative
0505560,Berryville,AR,South,5356,5-9.9k,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,0,-0.25,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,1,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,1,1,1,1,1,1,3,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.523809524,#N/A
0526290,Gentry,AR,South,3158,2.5-4.9k,1,4,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,0,#N/A,0,#N/A,100,#N/A,100,100,0,24.75,0,100,0,0,#N/A,0,#N/A,#N/A,1,2.5,1,2,2,#N/A,#N/A,3,#N/A,2.5,2.5,3,2.5,4,3,3,20.5,1,1,1,4,#N/A,#N/A,#N/A,64.28571429,0
0534750,Jacksonville,AR,South,28364,25-49.9k,4,4,3.525595826,0.476190476,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,0,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,3.525595826,100,0,75,#N/A,#N/A,#N/A,100,100,100,0,24.5,#N/A,100,0,0,#N/A,#N/A,#N/A,#N/A,2,2,1,1,3.5,#N/A,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,4,#N/A,#N/A,#N/A,#N/A,0
0574540,West Memphis,AR,South,26245,25-49.9k,4,4,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,-0.5,#N/A,0,0,0,#N/A,#N/A,#N/A,1,3,2.5,1,1,2,#N/A,1,1,#N/A,2,2.5,2.5,2,3,2.5,2.5,17,1,1,1,4,#N/A,#N/A,#N/A,47.61904762,0
0600884,Alhambra,CA,West,83089,50-99.9k,5,5,4.392879924,0.277376344,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,71181600,Y,#N/A,100,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,3,1,75,100,96.37500566,#N/A,#N/A,#N/A,#N/A,#N/A,1,100,100,4.392879924,100,0,75,100,#N/A,#N/A,100,100,100,0,49.75,100,0,0,0,#N/A,#N/A,#N/A,1.5,4,4,3,1,3,#N/A,1,4,#N/A,1,4,1,1,3,1,2.5,13.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,30.95238095,22.22222222
0602000,Anaheim,CA,West,336265,250-499.9k,7,5,4.460767549,0.092709598,31.25,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,100,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,0.142744562,48000,#N/A,100,100,4.460767549,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,#N/A,100,#N/A,#N/A,4,4,3,3,4,#N/A,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,2,6.666666667,#N/A,#N/A,#N/A,#N/A,22.22222222
0602252,Antioch,CA,West,102372,100-249.9k,6,5,2.25647638,0.180978552,1.064516129,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,0,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,2.119720236,#DIV/0!,#N/A,100,100,2.25647638,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,57.14285714,#N/A,2,3,3,3,3,#N/A,1,2,#N/A,2,3,2.5,2,2.5,2.5,2.5,17,1,2,2,6.666666667,#N/A,#N/A,#N/A,47.61904762,22.22222222
0605108,Belmont,CA,West,25835,25-49.9k,4,5,3.870718018,0.153121409,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,#N/A,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,3.870718018,100,100,100,100,100,100,100,100,100,0,75,100,0,100,0,0,0,42.85714286,1.5,#N/A,3,1,4,2,#N/A,#N/A,1,#N/A,3,1,1,3,1,2.5,3,14.5,1,1,1,4,#N/A,#N/A,#N/A,35.71428571,0
0608954,Burbank,CA,West,103340,100-249.9k,6,5,20.84381653,0.333953488,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,0,100,100,#N/A,#N/A,100,100,100,25,18,#N/A,72,6.148219663,66.17882717,6,#N/A,#N/A,#N/A,100,79.56498244,#N/A,#N/A,98.15666667,#N/A,#N/A,18,0,100,20.84381653,100,#N/A,#N/A,100,100,100,100,100,0,0,50,100,0,#N/A,0,0,100,#N/A,1.5,2,4,3,4,3,4,#N/A,3,#N/A,3,4,3,2.5,4,4,3,23.5,3,3,3,12,#N/A,#N/A,#N/A,78.57142857,66.66666667
0611194,Carlsbad,CA,West,105328,100-249.9k,6,5,5.237800015,0.212187308,36.77913333,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,0,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.5,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,0.142412274,2500,#N/A,100,100,5.237800015,100,#N/A,#N/A,100,#N/A,#N/A,100,100,100,100,74.75,100,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,4,3,3,2,3,#N/A,3,3,#N/A,2.5,3,2.5,2.5,3,2.5,3,19,1,2,2,6.666666667,#N/A,#N/A,#N/A,57.14285714,22.22222222
